,Symbol,Year,Quarter,Assets,Debt,Equity,Liabilities,Provisions
30,ABI,2019,1,2275558142072.0,0.0,811683237243.0,1429147245868.0,1115978608847.0
31,ABI,2019,2,2374017156046.0,0.0,782711715387.0,1516299007030.0,1151443516466.0
32,ABI,2019,3,2483107116208.0,0.0,856525093693.0,1556268151386.0,1192586178744.0
33,ABI,2019,4,2569469136645.0,0.0,891176049939.0,1613174260577.0,1302564123482.0
34,ABI,2020,1,2679873082924.0,0.0,928685407073.0,1696181929285.0,1385047139150.0
35,ABI,2020,2,2858002322408.0,0.0,947435658341.0,1791779006486.0,1421992443878.0
36,ABI,2020,3,2875023051129.0,0.0,988966823839.0,1792541640530.0,1402126334139.0
37,ABI,2020,4,2988138222635.0,0.0,1044879865616.0,1860155240965.0,1485982998056.0
38,ABI,2021,1,3085249671742.0,0.0,1125052694845.0,1904699265481.0,1529461620362.0
39,ABI,2021,2,3190146374967.0,0.0,1129602530247.0,1950627389319.0,1597904275128.0
40,ABI,2021,3,3315115960850.0,0.0,1251546974455.0,1969737513494.0,1549113658791.0
41,ABI,2021,4,3311395071285.0,0.0,1235759325836.0,1987265209127.0,1565891195042.0
42,ABI,2022,1,3376694884966.0,0.0,1290960907812.0,2017588511133.0,1617409206868.0
43,ABI,2022,2,3487676408631.0,0.0,1270810968262.0,2103028629970.0,1689947749582.0
44,ABI,2022,3,3511263836438.0,0.0,1339478164762.0,2084772220251.0,1642188151805.0
45,ABI,2022,4,3575994139540.0,0.0,1392681884628.0,2104490881201.0,1635621984077.0
46,ABI,2023,1,3691074015025.0,0.0,1463348426328.0,2169074763755.0,1633657033364.0
47,ABI,2023,2,3831387299184.0,0.0,1491613599683.0,2231620593299.0,1612509955642.0
48,AIC,2017,4,1681938106794.0,79546608317.0,826217877609.0,855482478072.0,554153209146.0
49,AIC,2018,1,1663821694134.0,0.0,820438483358.0,843359990970.0,598821027541.0
50,AIC,2018,2,1781742951653.0,0.0,777556003291.0,1003735813026.0,731604641315.0
51,AIC,2018,3,1833717667769.0,0.0,787222385892.0,1046045646541.0,764323151705.0
52,AIC,2018,4,1926119325069.0,0.0,815159302582.0,1110615412151.0,820510163335.0
53,AIC,2019,1,1984016999713.0,0.0,816904050043.0,1166821385289.0,871426926065.0
54,AIC,2019,2,1994087007339.0,0.0,819478331604.0,1174310973292.0,853224145246.0
55,AIC,2019,3,2023262822900.0,0.0,818683239868.0,1204538880589.0,879264431988.0
56,AIC,2019,4,2076882874783.0,0.0,824729536885.0,1252132635455.0,933470163221.0
57,AIC,2020,1,2159492119705.0,0.0,789420837901.0,1370055579361.0,1031925150875.0
58,AIC,2020,2,2379369487037.0,0.0,827778672359.0,1551508051953.0,1162428266687.0
59,AIC,2020,3,2515541925233.0,0.0,828662019567.0,1686827142941.0,1289264491407.0
60,AIC,2020,4,2920749774967.0,0.0,1035017970492.0,1885685041750.0,1390945534645.0
61,AIC,2021,1,2981146503658.0,0.0,1036737661966.0,1944363578967.0,1506865299557.0
62,AIC,2021,2,3115923888957.0,0.0,1038152369206.0,2077665385719.0,1525304788368.0
63,AIC,2021,3,3091385887261.0,0.0,1047836889481.0,2043442863748.0,1528214322745.0
64,AIC,2021,4,3468896838902.0,0.0,1051330029737.0,2417492675133.0,1727543585595.0
65,AIC,2022,1,3674485059275.0,0.0,1068569227001.0,2605881698242.0,1792601007716.0
