,Symbol,Year,Quarter,Assets,Debt,Equity,Loans
66,BVS,2018,3,3281995180944.0,306430759038.0,1728927998787.0,1478063842368.0
67,BVS,2019,3,2437442277702.0,506430049267.0,1786736804643.0,1747148212445.0
68,BVS,2020,3,2470844587333.0,499353574186.0,1878444638548.0,1608528584596.0
69,BVS,2021,3,5297823652970.0,2321937189637.0,2098596930083.0,3414608456376.0
70,BVS,2022,3,4388476483536.0,1161983261367.0,2205333163627.0,2762441999757.0
71,BVS,2014,4,1883734671165.0,0.0,1341205921867.0,
72,BVS,2015,4,2108291107867.0,29150839917.0,1450739880694.0,
73,BVS,2016,4,1854124706051.0,159677448472.0,1548072383621.0,1089683435238.0
74,BVS,2017,4,2102929510465.0,89985675489.0,1697830144853.0,1081184320622.0
75,BVS,2018,4,2927027713343.0,442822170663.0,1691877045862.0,1682728337545.0
76,BVS,2019,4,2397701201757.0,500387697434.0,1806532015919.0,1514325651880.0
77,BVS,2020,4,3413323568269.0,995251422216.0,1875017434203.0,2205552755865.0
78,BVS,2021,4,5718730187183.0,2605890208119.0,2143687171015.0,3547052445432.0
79,BVS,2022,4,3887543268661.0,980000000000.0,2211436402567.0,2254798696008.0
80,HCM,2014,0,3859367024129.0,0.0,2358230609392.0,
81,HCM,2015,0,3596583428164.0,654103204781.0,2279549327062.0,
82,HCM,2016,0,3616842334688.0,1000000000000.0,2391917451263.0,2750945233394.0
83,HCM,2017,0,6680572043521.0,3279755399374.0,2791161152263.0,4501592303606.0
84,HCM,2018,0,5256305327181.0,1704132323195.0,3060536162497.0,3262014843244.0
85,HCM,2019,0,7488678629348.0,2393727235255.0,4304143039139.0,4696713331994.0
86,HCM,2020,0,12488827553087.0,6716571061080.0,4440354531385.0,8623841531603.0
87,HCM,2021,0,24369103140717.0,15039870130242.0,7325252922790.0,13690097115046.0
88,HCM,2022,0,15446955045214.0,6938057640000.0,7891832336224.0,7378982938005.0
89,HCM,2016,1,2943744941906.0,267054330022.0,2344228939976.0,2352568494378.0
90,HCM,2017,1,3892805499451.0,990544632449.0,2513810605376.0,3029086926076.0
91,HCM,2018,1,6220182967215.0,2656068979134.0,3034919882162.0,4926201974402.0
92,HCM,2019,1,5714739510350.0,2122864227942.0,3102369853836.0,3773558483981.0
93,HCM,2020,1,6263688416301.0,1407713087780.0,4402876662451.0,3553806235810.0
94,HCM,2021,1,14961830132216.0,8447830000000.0,4762167799069.0,0.0
95,HCM,2022,1,22793972458257.0,14518687250000.0,7608069739170.0,14523355039181.0
96,HCM,2023,1,14139544834624.0,5513593054795.0,8015588231773.0,6906744067583.0
97,HCM,2016,2,3764990072349.0,854595738327.0,2297969333626.0,3055679841294.0
98,HCM,2017,2,4854838128091.0,1373055578800.0,2477993168291.0,3463674075883.0
99,HCM,2018,2,4604562065544.0,1232068799000.0,2934897394622.0,3041959733900.0
100,HCM,2019,2,7194079707525.0,2591123117328.0,4218257279032.0,4719424343608.0
101,HCM,2020,2,6742639475795.0,1936375000000.0,4314307924272.0,4284717310882.0
102,HCM,2021,2,15541038523016.0,8968370271500.0,4805408678478.0,9169445263141.0
103,HCM,2022,2,19179811308731.0,10301868844099.0,7830017071952.0,11226994265474.0
104,HCM,2016,3,3609104384409.0,1034860867831.0,2379770219433.0,2912084873506.0
105,HCM,2017,3,4792879665650.0,1671692082200.0,2612737620409.0,3541655638479.0
106,HCM,2018,3,5640547974412.0,2071138100000.0,3066120385969.0,4334248256951.0
107,HCM,2019,3,6628013936140.0,1563100000000.0,4329578043431.0,4684723196789.0
108,HCM,2020,3,9468173497481.0,3930761597713.0,4455571453904.0,6022129686611.0
109,HCM,2021,3,18881291406331.0,12886939179631.0,5123860326991.0,9608295488936.0
110,HCM,2022,3,20688690278228.0,11028934668277.0,7995107746365.0,10927578271511.0
111,HCM,2014,4,3859367024129.0,0.0,2358230609392.0,
112,HCM,2015,4,3596583428164.0,654103204781.0,2279549327062.0,
113,HCM,2016,4,3616842334688.0,1000000000000.0,2391917451263.0,2750945233394.0
114,HCM,2017,4,6680572043521.0,3279755399374.0,2791161152263.0,4501592303606.0
